No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,"Conc,",HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,
66,Bangladesh,Bogura,C6-3,BD-C6-3(BWDB+Atapara)BISIC,2018-05-08,2018-10-30,SCP-116,175,612.5,,1121.12 ,453.38 ,124.25 ,1498.23 ,22.77 ,40139.56 ,20493.06 ,29690.86 ,4322.00 ,5242.29 ,3060.99 ,1671.08 ,2312.73 ,234.84 ,365.14 ,21.15 ,3.01 ,33.29 ,20.36 ,694.43 ,159.99 ,13.92 ,27.78 ,13.62 ,26.11 ,33.89 ,17.63 ,,1.81 ,0.74 ,0.20 ,2.44 ,0.04 ,65.34 ,33.39 ,48.41 ,7.05 ,8.53 ,4.99 ,2.63 ,3.75 ,0.37 ,0.59 ,0.03 ,<MDL,0.04 ,0.03 ,1.02 ,0.20 ,<MDL,0.03 ,0.02 ,0.03 ,0.05 ,0.03 ,
67,Bangladesh,Bogura,C6-4,"BD-C6-4(Chelopara)NISHINDARA, SOUJ)",2018-05-08,2018-10-30,SCP-117,175,612.5,,1665.94 ,661.27 ,323.04 ,2199.68 ,87.54 ,73861.48 ,35949.04 ,33936.91 ,3249.95 ,11172.37 ,5231.21 ,5174.99 ,4995.72 ,600.18 ,3025.08 ,69.29 ,15.22 ,40.39 ,34.98 ,2238.78 ,1141.24 ,13.35 ,118.40 ,43.20 ,112.36 ,26.66 ,47.48 ,,2.70 ,1.08 ,0.52 ,3.59 ,0.14 ,120.39 ,58.62 ,55.35 ,5.30 ,18.22 ,8.53 ,8.35 ,8.13 ,0.97 ,4.94 ,0.11 ,0.02 ,0.05 ,0.05 ,3.55 ,1.80 ,<MDL,0.18 ,0.06 ,0.18 ,0.04 ,0.08 ,
68,Bangladesh,Mymensingh,C7-1,BD-C7-1(Mymensingh),2018-07-03,2018-09-30,SCP-118,89,311.5,,2816.25 ,753.29 ,153.75 ,2129.11 ,38.45 ,76781.58 ,42408.41 ,29218.07 ,3138.26 ,9720.47 ,4571.70 ,3945.84 ,3800.40 ,98.19 ,360.46 ,109.01 ,6.90 ,23.47 ,79.52 ,534.96 ,109.88 ,24.40 ,156.11 ,164.26 ,56.03 ,84.07 ,36.07 ,,8.99 ,2.42 ,0.48 ,6.83 ,0.12 ,246.10 ,136.01 ,93.68 ,10.07 ,31.16 ,14.66 ,12.48 ,12.16 ,0.30 ,1.15 ,0.34 ,0.02 ,0.04 ,0.25 ,1.50 ,<MDL,<MDL,0.48 ,0.51 ,0.16 ,0.26 ,0.11 ,
69,Bangladesh,Mymensingh ,C7-2,BD-C7-2( RAK Ceramics),2018-07-03,2018-09-30,SCP-119,89,311.5,,2355.48 ,576.17 ,110.53 ,1930.49 ,86.99 ,81025.17 ,40119.77 ,28541.24 ,3559.35 ,10253.19 ,4097.22 ,3817.46 ,5627.82 ,63.31 ,69.64 ,54.58 ,2.30 ,30.92 ,42.71 ,535.97 ,156.53 ,19.21 ,47.81 ,153.04 ,49.72 ,48.27 ,30.86 ,,7.52 ,1.85 ,0.34 ,6.19 ,0.28 ,259.73 ,128.66 ,91.50 ,11.42 ,32.87 ,13.13 ,12.06 ,18.02 ,0.18 ,0.22 ,0.16 ,<MDL,0.07 ,0.13 ,1.50 ,0.37 ,<MDL,0.13 ,0.48 ,0.14 ,0.14 ,0.10 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,LB1,,11.78 ,0.87 ,0.68 ,0.23 ,0.50 ,8.77 ,4.78 ,9.14 ,0.02 ,0.53 ,1.08 ,56.41 ,12.91 ,2.83 ,2.28 ,5.37 ,0.43 ,10.49 ,0.38 ,48.40 ,8.59 ,3.87 ,9.43 ,3.74 ,3.34 ,4.68 ,1.01 ,mean,4.65 ,1.68 ,0.32 ,4.55 ,0.14 ,275.89 ,139.66 ,119.46 ,21.44 ,41.53 ,16.64 ,9.52 ,18.53 ,1.71 ,5.81 ,0.13 ,0.02 ,0.09 ,0.08 ,29.11 ,9.65 ,10.18 ,0.46 ,4.52 ,0.49 ,0.35 ,0.19 ,
,,,,,,,,,LB2,,16.05 ,0.59 ,2.03 ,0.90 ,0.84 ,328.57 ,113.57 ,81.82 ,7.20 ,43.26 ,15.80 ,77.45 ,16.44 ,1.70 ,1.48 ,4.67 ,2.63 ,13.07 ,2.27 ,77.23 ,41.62 ,0.36 ,8.31 ,6.14 ,2.22 ,4.08 ,2.22 ,std,3.62 ,1.35 ,0.38 ,3.53 ,0.14 ,450.91 ,246.05 ,216.66 ,56.70 ,74.10 ,25.29 ,7.41 ,31.74 ,8.89 ,13.16 ,0.10 ,0.01 ,0.10 ,0.09 ,112.02 ,36.53 ,16.22 ,0.79 ,30.18 ,2.27 ,0.52 ,0.53 ,
,,,,,,,,,LB3,,15.62 ,1.13 ,8.17 ,1.25 ,0.56 ,22.54 ,8.30 ,21.65 ,0.72 ,1.66 ,2.17 ,45.51 ,9.85 ,13.11 ,2.53 ,3.57 ,0.54 ,8.39 ,1.45 ,76.78 ,70.65 ,37.94 ,4.44 ,1.66 ,8.61 ,2.17 ,0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,mean,,14.48 ,0.86 ,3.63 ,0.79 ,0.63 ,119.96 ,42.22 ,37.53 ,2.65 ,15.15 ,6.35 ,59.79 ,13.07 ,5.88 ,2.10 ,4.53 ,1.20 ,10.65 ,1.37 ,67.47 ,40.29 ,14.06 ,7.39 ,3.85 ,4.72 ,3.65 ,1.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,std,,1.92 ,0.22 ,3.26 ,0.42 ,0.15 ,147.62 ,50.48 ,31.73 ,3.23 ,19.88 ,6.70 ,13.26 ,2.69 ,5.13 ,0.45 ,0.74 ,1.01 ,1.91 ,0.77 ,13.49 ,25.35 ,16.95 ,2.14 ,1.83 ,2.79 ,1.07 ,0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"MDL, pg",,20.25 ,1.54 ,13.41 ,2.06 ,1.08 ,562.81 ,193.65 ,132.71 ,12.35 ,74.80 ,26.45 ,99.56 ,21.14 ,21.28 ,3.43 ,6.76 ,4.24 ,16.39 ,3.68 ,107.92 ,116.35 ,64.90 ,13.81 ,9.34 ,13.08 ,6.86 ,3.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
