No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,"Conc,",HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,
22,Bangladesh,Bogura,C6-3,"BD-C6-3(BWDB, Atpara,  BISIC)",2017-12-10,2018-02-15,SCP-72,67,234.5,,2142.41 ,996.58 ,68.46 ,3467.18 ,31.42 ,14437.55 ,5973.30 ,8754.31 ,1039.61 ,2501.09 ,1151.43 ,644.20 ,692.90 ,17348.99 ,6.60 ,28.02 ,13.04 ,47.71 ,28.05 ,8023.47 ,1240.95 ,22.83 ,29.95 ,42.26 ,67.57 ,6.32 ,2.32 ,,9.07 ,4.25 ,0.28 ,14.78 ,0.13 ,61.06 ,25.29 ,37.17 ,4.42 ,10.60 ,4.88 ,2.49 ,2.90 ,73.96 ,0.02 ,0.10 ,0.05 ,0.16 ,0.11 ,33.93 ,5.12 ,<MDL,0.10 ,0.16 ,0.27 ,<MDL,<MDL,
23,Bangladesh,Bogura,C6-4,"BD-C6-4(Souj, Feri bivag, Nishindara)",2017-12-10,2018-02-15,SCP-73,67,234.5,,1759.80 ,781.98 ,69.22 ,3570.02 ,69.09 ,17810.40 ,6464.95 ,9380.61 ,1070.02 ,2536.99 ,1160.28 ,2931.43 ,1112.00 ,1898.84 ,6.25 ,38.41 ,2.03 ,32.45 ,24.33 ,2177.39 ,664.11 ,58.45 ,30.60 ,22.84 ,81.85 ,14.80 ,19.91 ,,7.44 ,3.33 ,0.28 ,15.22 ,0.29 ,75.44 ,27.39 ,39.84 ,4.55 ,10.75 ,4.92 ,12.25 ,4.69 ,8.07 ,0.02 ,0.14 ,<MDL,0.09 ,0.10 ,9.00 ,2.66 ,<MDL,0.10 ,0.08 ,0.33 ,0.05 ,0.08 ,
24,Bangladesh,Mymensingh,C7-1,BD-C7-1(Mymensingh),2017-12-25,2018-03-07,SCP-74,72,252,,2771.70 ,786.37 ,95.62 ,2791.52 ,35.44 ,18521.91 ,7701.67 ,8249.95 ,1106.91 ,2951.86 ,1260.08 ,932.44 ,1012.78 ,110.73 ,9.65 ,13.64 ,3.01 ,62.92 ,34.91 ,1233.73 ,518.36 ,22.45 ,13.75 ,33.22 ,78.83 ,28.13 ,9.50 ,,10.94 ,3.12 ,0.37 ,11.07 ,0.14 ,73.02 ,30.39 ,32.59 ,4.38 ,11.65 ,4.98 ,3.46 ,3.97 ,0.42 ,0.03 ,0.04 ,<MDL,0.21 ,0.13 ,4.63 ,1.90 ,<MDL,<MDL,0.12 ,0.29 ,0.10 ,0.03 ,
25,Bangladesh,Mymensingh ,C7-2,BD-C7-2( RAK Ceramics),2017-12-25,2018-03-07,SCP-75,72,252,,2604.33 ,953.99 ,14.35 ,3194.49 ,29.80 ,27791.83 ,11638.13 ,10533.64 ,1401.39 ,4403.83 ,1799.54 ,1370.88 ,2076.00 ,365.27 ,0.86 ,32.15 ,3.04 ,56.25 ,32.80 ,4693.37 ,1750.30 ,38.28 ,23.63 ,15.31 ,25.25 ,24.40 ,44.44 ,,10.28 ,3.78 ,0.04 ,12.67 ,0.12 ,109.81 ,46.02 ,41.65 ,5.55 ,17.42 ,7.12 ,5.20 ,8.19 ,1.43 ,<MDL,0.11 ,<MDL,0.18 ,0.12 ,18.36 ,6.79 ,<MDL,0.06 ,0.05 ,0.08 ,0.08 ,0.17 ,
26,Bangladesh,Dhaka,C1-1,"BD-C1-1(Chemistry Building, DU)",2018-03-12,2018-06-20,SCP-76,100,350,,829.78 ,457.63 ,44.39 ,1583.87 ,49.68 ,79355.40 ,29316.28 ,29580.33 ,3227.14 ,12899.15 ,4727.78 ,4984.06 ,5412.70 ,175.64 ,0.35 ,27.31 ,1.92 ,15.97 ,36.63 ,696.54 ,244.81 ,45.32 ,143.24 ,48.16 ,15.48 ,19.46 ,5.87 ,,2.33 ,1.31 ,0.12 ,4.52 ,0.14 ,226.39 ,83.64 ,84.41 ,9.21 ,36.81 ,13.49 ,14.07 ,15.43 ,0.49 ,<MDL,0.07 ,<MDL,<MDL,0.10 ,1.80 ,0.58 ,<MDL,0.39 ,0.13 ,0.03 ,0.05 ,0.01 ,
27,Bangladesh,Dhaka,C1-2,BD-C1-2(Amin Bazar Dumping Place ),2018-03-12,2018-06-13,SCP-77,93,325.5,,1635.92 ,421.07 ,68.72 ,903.89 ,38.78 ,39324.01 ,13130.28 ,14996.26 ,1715.08 ,6543.29 ,2371.43 ,2228.30 ,3083.71 ,102.62 ,7.43 ,40.33 ,12.18 ,48.29 ,6.42 ,920.30 ,224.83 ,11.63 ,83.28 ,84.87 ,32.05 ,35.55 ,12.14 ,,4.98 ,1.29 ,0.20 ,2.77 ,0.12 ,120.44 ,40.21 ,45.96 ,5.26 ,20.06 ,7.27 ,6.66 ,9.43 ,0.30 ,0.02 ,0.11 ,0.03 ,0.12 ,0.02 ,2.62 ,0.57 ,<MDL,0.23 ,0.25 ,0.08 ,0.10 ,0.03 ,
28,Bangladesh,Dhaka,C1-3,BD-C1-3(Demra Dumping),2018-03-17,2018-07-03,SCP-78,108,378,,3410.02 ,2977.15 ,1120.72 ,2422.83 ,192.49 ,151779.37 ,70545.28 ,65586.09 ,8037.72 ,31754.34 ,11600.01 ,5729.94 ,15210.03 ,249.09 ,11.97 ,75.46 ,3.49 ,45.19 ,44.96 ,1375.02 ,745.80 ,106.36 ,324.51 ,41.40 ,46.72 ,49.40 ,126.43 ,,8.98 ,7.87 ,2.96 ,6.41 ,0.51 ,401.22 ,186.52 ,173.41 ,21.26 ,83.97 ,30.67 ,15.00 ,40.20 ,0.64 ,0.03 ,0.19 ,<MDL,0.09 ,0.12 ,3.46 ,1.87 ,0.24 ,0.84 ,0.10 ,0.11 ,0.12 ,0.33 ,
29,Bangladesh,Dhaka,C1-4,BD-C1-4(Medical Incineration)),2018-03-17,2018-07-03,SCP-79,108,378,,1554.90 ,467.28 ,110.31 ,1477.35 ,50.45 ,187996.64 ,97295.87 ,71126.86 ,8791.72 ,38468.56 ,12271.12 ,4655.51 ,16416.00 ,104.97 ,7.42 ,31.64 ,6.48 ,63.27 ,57.47 ,544.70 ,225.56 ,59.65 ,312.66 ,58.50 ,19.61 ,17.78 ,45.69 ,,4.08 ,1.23 ,0.28 ,3.91 ,0.13 ,497.03 ,257.28 ,188.07 ,23.25 ,101.73 ,32.45 ,12.16 ,43.39 ,0.26 ,0.01 ,0.07 ,0.01 ,0.14 ,0.15 ,1.26 ,0.49 ,<MDL,0.81 ,0.14 ,0.04 ,0.04 ,0.12 ,
30,Bangladesh,Dhaka,C1-5,BD-C1-5(Mohakhali Dhaka,2018-03-20,2018-06-18,SCP-80,90,315,,891.95 ,354.04 ,151.77 ,1347.32 ,48.60 ,82244.31 ,31558.62 ,31247.25 ,3444.96 ,13600.33 ,4852.49 ,4389.69 ,6853.84 ,203.46 ,4.74 ,22.88 ,3.25 ,36.25 ,16.74 ,2103.23 ,801.96 ,27.34 ,33.62 ,43.44 ,19.09 ,18.33 ,5.94 ,,2.79 ,1.12 ,0.47 ,4.27 ,0.15 ,260.71 ,100.05 ,99.08 ,10.93 ,43.13 ,15.38 ,13.75 ,21.72 ,0.63 ,0.01 ,0.06 ,<MDL,0.08 ,0.05 ,6.46 ,2.42 ,<MDL,0.08 ,0.13 ,0.05 ,0.05 ,0.01 ,
31,Bangladesh,Dhaka,C1-6,BD-C1-6(Shiddhir ganj),2018-03-17,2018-06-19,SCP-81,94,329,,672.59 ,249.89 ,52.95 ,674.84 ,12.49 ,810153.18 ,389943.50 ,367617.69 ,92543.04 ,135606.13 ,38171.68 ,11412.34 ,27073.52 ,150.33 ,12.03 ,61.40 ,1.85 ,29.27 ,30.14 ,1338.51 ,622.30 ,7.76 ,167.09 ,20.47 ,14.80 ,242.18 ,41.21 ,,2.00 ,0.76 ,0.15 ,2.05 ,0.04 ,2462.11 ,1185.11 ,1117.26 ,281.28 ,412.13 ,116.00 ,34.51 ,82.25 ,0.44 ,0.03 ,0.17 ,<MDL,0.06 ,0.09 ,3.86 ,1.77 ,<MDL,0.49 ,0.05 ,0.03 ,0.73 ,0.12 ,
