No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,Concentration,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,16PAHs,,,,,,,,,,,,,,,,,,,,
22,Bangladesh,Bogura,C6-3,"BD-C6-3(BWDB, Atpara,  BISIC)",2017-12-10,2018-02-15,SCP-72,67,234.5,,74.71 ,25.48 ,57.63 ,68.66 ,1033.80 ,27.58 ,979.14 ,641.58 ,47.98 ,123.02 ,136.72 ,21.81 ,24.74 ,33.54 ,4.78 ,25.02 ,,0.64 ,0.22 ,0.49 ,0.59 ,8.82 ,0.24 ,8.35 ,5.47 ,0.41 ,1.05 ,1.17 ,0.19 ,0.21 ,0.29 ,0.04 ,0.21 ,28.37 ,,,,,,,,,,,,,,,,,,,,
23,Bangladesh,Bogura,C6-4,"BD-C6-4(Souj, Feri bivag, Nishindara)",2017-12-10,2018-02-15,SCP-73,67,234.5,,67.40 ,22.12 ,51.19 ,78.62 ,392.32 ,36.07 ,712.00 ,361.60 ,55.28 ,72.56 ,325.18 ,6.14 ,24.04 ,5.38 ,3.67 ,11.68 ,,0.57 ,0.19 ,0.44 ,0.67 ,3.35 ,0.31 ,6.07 ,3.08 ,0.47 ,0.62 ,2.77 ,0.05 ,0.20 ,0.05 ,0.03 ,0.10 ,18.98 ,,,,,,,,,,,,,,,,,,,,
24,Bangladesh,Mymensingh,C7-1,BD-C7-1(Mymensingh),2017-12-25,2018-03-07,SCP-74,72,252,,82.11 ,7.45 ,82.90 ,84.65 ,952.07 ,28.74 ,994.76 ,713.51 ,42.74 ,131.28 ,133.06 ,32.90 ,34.29 ,60.51 ,6.34 ,36.30 ,,0.65 ,0.06 ,0.66 ,0.67 ,7.56 ,0.23 ,7.89 ,5.66 ,0.34 ,1.04 ,1.06 ,0.26 ,0.27 ,0.48 ,0.05 ,0.29 ,27.17 ,,,,,,,,,,,,,,,,,,,,
25,Bangladesh,Mymensingh ,C7-2,BD-C7-2( RAK Ceramics),2017-12-25,2018-03-07,SCP-75,72,252,,29.09 ,3.90 ,26.30 ,23.16 ,310.02 ,10.56 ,558.59 ,381.96 ,32.13 ,118.32 ,99.77 ,22.87 ,25.21 ,45.86 ,5.29 ,26.25 ,,0.23 ,0.03 ,0.21 ,0.18 ,2.46 ,0.08 ,4.43 ,3.03 ,0.26 ,0.94 ,0.79 ,0.18 ,0.20 ,0.36 ,0.04 ,0.21 ,13.65 ,,,,,,,,,,,,,,,,,,,,
26,Bangladesh,Dhaka,C1-1,"BD-C1-1(Chemistry Building, DU)",2018-03-12,2018-06-20,SCP-76,100,350,,20.12 ,1.09 ,4.99 ,8.96 ,119.45 ,3.77 ,256.17 ,182.54 ,19.29 ,64.30 ,72.45 ,10.83 ,13.53 ,10.75 ,1.04 ,8.05 ,,0.11 ,0.01 ,0.03 ,0.05 ,0.68 ,0.02 ,1.46 ,1.04 ,0.11 ,0.37 ,0.41 ,0.06 ,0.08 ,0.06 ,0.01 ,0.05 ,4.56 ,,,,,,,,,,,,,,,,,,,,
27,Bangladesh,Dhaka,C1-2,BD-C1-2(Amin Bazar Dumping Place ),2018-03-12,2018-06-13,SCP-77,93,325.5,,35.90 ,7.04 ,18.17 ,36.48 ,443.65 ,33.42 ,578.22 ,487.57 ,34.15 ,91.76 ,101.77 ,32.26 ,16.18 ,16.90 ,1.76 ,12.98 ,,0.22 ,0.04 ,0.11 ,0.22 ,2.73 ,0.21 ,3.55 ,3.00 ,0.21 ,0.56 ,0.63 ,0.20 ,0.10 ,0.10 ,0.01 ,0.08 ,11.97 ,,,,,,,,,,,,,,,,,,,,
28,Bangladesh,Dhaka,C1-3,BD-C1-3(Demra Dumping),2018-03-17,2018-07-03,SCP-78,108,378,,29.44 ,7.36 ,13.86 ,32.74 ,427.03 ,32.91 ,669.56 ,460.70 ,51.89 ,142.73 ,71.90 ,29.70 ,10.63 ,8.17 ,0.85 ,5.90 ,,0.16 ,0.04 ,0.07 ,0.17 ,2.26 ,0.17 ,3.54 ,2.44 ,0.27 ,0.76 ,0.38 ,0.16 ,0.06 ,0.04 ,0.00 ,0.03 ,10.56 ,,,,,,,,,,,,,,,,,,,,
29,Bangladesh,Dhaka,C1-4,BD-C1-4(Medical Incineration)),2018-03-17,2018-07-03,SCP-79,108,378,,27.26 ,4.14 ,5.26 ,18.56 ,203.19 ,12.34 ,653.58 ,472.78 ,77.03 ,200.56 ,96.55 ,28.81 ,40.04 ,27.19 ,3.11 ,21.88 ,,0.14 ,0.02 ,0.03 ,0.10 ,1.08 ,0.07 ,3.46 ,2.50 ,0.41 ,1.06 ,0.51 ,0.15 ,0.21 ,0.14 ,0.02 ,0.12 ,10.01 ,,,,,,,,,,,,,,,,,,,,
30,Bangladesh,Dhaka,C1-5,BD-C1-5(Mohakhali Dhaka,2018-03-20,2018-06-18,SCP-80,90,315,,104.44 ,0.95 ,6.78 ,13.99 ,115.90 ,4.88 ,149.78 ,116.74 ,12.47 ,28.06 ,4.73 ,1.76 ,3.37 ,2.09 ,0.20 ,1.91 ,,0.66 ,0.01 ,0.04 ,0.09 ,0.74 ,0.03 ,0.95 ,0.74 ,0.08 ,0.18 ,0.03 ,0.01 ,0.02 ,0.01 ,0.00 ,0.01 ,3.61 ,,,,,,,,,,,,,,,,,,,,
31,Bangladesh,Dhaka,C1-6,BD-C1-6(Shiddhir ganj),2018-03-17,2018-06-19,SCP-81,94,329,,29.19 ,1.12 ,9.40 ,15.69 ,161.47 ,6.75 ,271.68 ,197.96 ,27.44 ,58.08 ,56.85 ,3.51 ,6.51 ,4.86 ,0.36 ,3.41 ,,0.18 ,0.01 ,0.06 ,0.10 ,0.98 ,0.04 ,1.65 ,1.20 ,0.17 ,0.35 ,0.35 ,0.02 ,0.04 ,0.03 ,0.00 ,0.02 ,5.19 ,,,,,,,,,,,,,,,,,,,,
